Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
1997,28,534,28.5,4.77,4.39,4532,0.94,0.06,0.02,0.05,0.25,8.93,9.15,4.77,4.35,1.02,3.46,0.26,6.61,0.32,0.04,0.33,38.73,100,1.412,.301,9.2,1.0,3.5,6.7,1.91,0.71
1996,28,538,28.4,5.04,4.61,4534,0.94,0.06,0.02,0.04,0.25,8.95,9.33,5.04,4.58,1.09,3.55,0.30,6.46,0.31,0.04,0.34,39.10,101,1.440,.301,9.4,1.1,3.6,6.5,1.82,0.74
1995,28,552,28.3,4.85,4.45,4034,0.93,0.07,0.02,0.05,0.25,8.93,9.17,4.85,4.42,1.01,3.53,0.27,6.30,0.30,0.05,0.35,38.85,101,1.421,.298,9.2,1.0,3.6,6.4,1.79,0.72
1994,28,470,28.6,4.92,4.51,3200,0.92,0.08,0.02,0.04,0.24,8.93,9.29,4.92,4.48,1.03,3.48,0.32,6.18,0.27,0.05,0.36,38.90,101,1.430,.300,9.4,1.0,3.5,6.2,1.78,0.74
1993,28,507,28.5,4.60,4.19,4538,0.92,0.08,0.02,0.05,0.26,8.93,9.05,4.60,4.16,0.89,3.33,0.33,5.80,0.26,0.07,0.32,38.47,101,1.387,.294,9.1,0.9,3.4,5.8,1.74,0.77
1992,26,441,28.6,4.12,3.75,4212,0.90,0.10,0.03,0.07,0.26,8.98,8.68,4.12,3.74,0.72,3.25,0.31,5.59,0.23,0.05,0.31,38.12,100,1.328,.285,8.7,0.7,3.3,5.6,1.72,0.73
1991,26,475,28.3,4.31,3.91,4208,0.91,0.09,0.03,0.06,0.27,8.98,8.69,4.31,3.90,0.80,3.32,0.29,5.80,0.22,0.06,0.33,38.20,101,1.338,.285,8.7,0.8,3.3,5.8,1.74,0.74
1990,26,483,28.4,4.26,3.86,4210,0.90,0.10,0.03,0.06,0.26,8.92,8.75,4.26,3.83,0.79,3.29,0.33,5.67,0.20,0.07,0.32,38.08,101,1.349,.287,8.8,0.8,3.3,5.7,1.72,0.76
1989,26,449,28.6,4.13,3.71,4212,0.89,0.11,0.04,0.07,0.25,8.95,8.62,4.13,3.69,0.73,3.21,0.34,5.61,0.19,0.10,0.31,37.99,101,1.321,.283,8.7,0.7,3.2,5.6,1.75,0.80
1988,26,438,28.5,4.14,3.73,4200,0.85,0.15,0.04,0.07,0.25,8.97,8.63,4.14,3.72,0.76,3.09,0.33,5.56,0.22,0.22,0.30,37.95,101,1.307,.282,8.7,0.8,3.1,5.6,1.80,0.77
